alder,hourly_salary_plsats_Mean,yearly_hours_Mean,yearly_salary_plsats_Mean,formue_plsats_Mean,pension_u_skat_plsats_Mean,extensive_v2_Mean,rente_pension_sum,indbetalingsprocent_sum,overfor_0,overfor_1,overfor_2
83,276.60925583,495.5,43500.267152,692606.0363,594100.00455,0.032889308,,,,,
84,260.31702987,477.89138577,36272.001152,659937.5592,530245.74414,0.0318425438,,,,,
85,,,,680342.92535,475953.33677,,,,,,
86,,,,677157.1897,420108.21287,,,,,,
87,,,,678156.37621,376468.48483,,,,,,
88,,,,688855.19699,340260.0621,,,,,,
89,,,,708072.3198,310163.80642,,,,,,
90,,,,695698.99277,268854.93492,,,,,,
91,,,,689991.35953,237098.74192,,,,,,
92,,,,747033.13957,213786.85761,,,,,,
93,,,,683905.85131,177089.15609,,,,,,
94,,,,756119.19018,170557.80083,,,,,,
95,,,,750057.29427,152831.00808,,,,,,
96,,,,699600.70847,121127.92231,,,,,,
97,,,,743333.40054,108779.05253,,,,,,
98,,,,679114.40811,91953.470313,,,,,,
99,,,,709762.74628,73145.580279,,,,,,
