_NAME_,hourly_salary_plsats,formue_plsats,pension_u_skat_plsats,extensive_v2
hourly_salary_plsats,4083.0352376,3093019.6027,3982297.7664,0
formue_plsats,3093019.6027,125017139113,9006346226.6,8238.1141267
pension_u_skat_plsats,3982297.7664,9006346226.6,32053623646,22613.368845
extensive_v2,0,8238.1141267,22613.368845,0.1383473831
