_NAME_,hourly_salary_plsats,formue_plsats,pension_u_skat_plsats,extensive_v2
hourly_salary_plsats,4251.6480523,2819054.1806,3889132.8037,0
formue_plsats,2819054.1806,121412241363,8485209975.1,6464.9476086
pension_u_skat_plsats,3889132.8037,8485209975.1,34463634680,22943.727866
extensive_v2,0,6464.9476086,22943.727866,0.1381047574
