alder,predicted
1,0.9990384467932171
2,0.9990179440569049
3,0.998994839850278
4,0.9989688042324586
5,0.9989394654555499
6,0.9989064046777476
7,0.9988691500107116
8,0.9988271698181326
9,0.9987798651722702
10,0.9987265613639008
11,0.9986664983484594
12,0.9985988199970752
13,0.998522562005534
14,0.9984366382968135
15,0.9983398257335889
16,0.998230746935835
17,0.998107850975229
18,0.9979693916923513
19,0.9978134033545731
20,0.9976376733419469
21,0.9974397115153448
22,0.9972167158855647
23,0.9969655341642861
24,0.9966826207378968
25,0.9963639885637524
26,0.9960051554460921
27,0.9956010841065902
28,0.9951461154237655
29,0.994633894178104
30,0.9940572866082881
31,0.9934082890617296
32,0.9926779270139923
33,0.9918561437422505
34,0.9909316779747571
35,0.9898919299102799
36,0.988722815119727
37,0.9874086060203556
38,0.9859317608676479
39,0.9842727405610804
40,0.9824098140311489
41,0.9803188535935227
42,0.977973122453103
43,0.9753430575504084
44,0.9723960522014787
45,0.969096244527035
46,0.9654043195305907
47,0.9612773348944385
48,0.956668583128239
49,0.9515275056145528
50,0.9457996773000998
51,0.9394268841800609
52,0.9323473191446856
53,0.924495924942003
54,0.9158049155865182
55,0.9062045090137854
56,0.8956239035131793
57,0.8839925277101564
58,0.8712415877703047
59,0.857305925200099
60,0.8421261833663284
61,0.8256512601645812
62,0.807840998146152
63,0.7886690326100205
64,0.7681256844029848
65,0.746220750301349
66,0.7229860138679451
67,0.6984772784967467
68,0.6727757172661231
69,0.6459883460646831
