alder,hourly_salary_plsats_Mean,yearly_hours_Mean,yearly_salary_plsats_Mean,formue_plsats_Mean,pension_u_skat_plsats_Mean,extensive_v2_Mean,rente_pension_sum,indbetalingsprocent_sum,overfør_0,overfør_1,overfør_2
67,285.47161024,1102.1963569,236170.78895,1909756.7289,1542789.9221,0.2150048696,-0.020881459,,,,
68,282.87582373,1006.646441,203436.85086,1905046.5338,1467139.5622,0.1892279458,-0.02335477,,,,
69,280.92231207,935.52379279,178645.91852,1902115.5433,1385800.8446,0.167530065,-0.025442213,,,,
70,,,,1881788.3754,1294907.0018,0.1454978394,,,,,
71,,,,1866697.0468,1199070.0736,,,,,,
72,,,,1851238.2709,1098390.2414,,,,,,
73,,,,1817240.9677,989177.3814,,,,,,
74,,,,1784288.3874,883656.29679,,,,,,
75,,,,1743311.425,790377.94236,,,,,,
76,,,,1702810.7129,699827.53587,,,,,,
77,,,,1659634.7844,616646.55516,,,,,,
78,,,,1633447.7321,551555.90102,,,,,,
79,,,,1607520.8319,496313.53144,,,,,,
80,,,,1575784.4209,444810.83073,,,,,,
81,,,,1545263.0463,395469.98503,,,,,,
82,,,,1524704.9474,352169.55203,,,,,,
83,,,,1509004.8141,315624.28957,,,,,,
84,,,,1500383.1465,283722.47615,,,,,,
85,,,,1492455.0847,253164.49378,,,,,,
86,,,,1482413.4103,223785.52486,,,,,,
87,,,,1473184.0226,196686.79718,,,,,,
88,,,,1443721.5658,172759.03424,,,,,,
89,,,,1422745.4688,152265.05685,,,,,,
90,,,,1403214.4997,135449.06812,,,,,,
91,,,,1390541.2936,119012.60922,,,,,,
92,,,,1364761.9289,103933.95356,,,,,,
93,,,,1341840.966,92564.989094,,,,,,
94,,,,1326113.8024,80926.107127,,,,,,
95,,,,1283158.7499,69633.074892,,,,,,
96,,,,1287798.5552,62191.568219,,,,,,
97,,,,1270950.6278,54827.286299,,,,,,
98,,,,1252422.9998,46104.900045,,,,,,
99,,,,1228236.6834,43514.451795,,,,,,
