alder,koen,aar,aargang,count_r1,survive_koen_r1,survive_r1
83,Mand,2018,1935,10671,.91350389,.92754203
83,Kvinde,2018,1935,14309,.93801105,.92754203
84,Mand,2018,1934,9281,.90809178,.92174143
84,Kvinde,2018,1934,13183,.93135101,.92174143
85,Mand,2018,1933,7994,.89742309,.91186029
85,Kvinde,2018,1933,11702,.92172277,.91186029
86,Mand,2018,1932,6811,.88459843,.89824861
86,Kvinde,2018,1932,10604,.90701622,.89824861
87,Mand,2018,1931,5782,.86423385,.8856653
87,Kvinde,2018,1931,9384,.89887041,.8856653
88,Mand,2018,1930,4837,.8532148,.87450033
88,Kvinde,2018,1930,8422,.88672525,.87450033
89,Mand,2018,1929,4058,.82602268,.85385358
89,Kvinde,2018,1929,7321,.86928016,.85385358
90,Mand,2018,1928,3348,.80585426,.84213704
90,Kvinde,2018,1928,6591,.86056745,.84213704
91,Mand,2018,1927,2562,.79508197,.82629049
91,Kvinde,2018,1927,5555,.84068406,.82629049
92,Mand,2018,1926,2053,.78178275,.81444347
92,Kvinde,2018,1926,4829,.82832885,.81444347
93,Mand,2018,1925,1502,.7556591,.79416084
93,Kvinde,2018,1925,3944,.80882353,.79416084
94,Mand,2018,1924,1093,.70905763,.76315176
94,Kvinde,2018,1924,3184,.78172112,.76315176
95,Mand,2018,1923,724,.69751382,.73504275
95,Kvinde,2018,1923,2435,.74620122,.73504275
96,Mand,2018,1922,487,.66940451,.72933024
96,Kvinde,2018,1922,1678,.74672228,.72933024
97,Mand,2018,1921,351,.65242165,.69847775
97,Kvinde,2018,1921,1357,.71039057,.69847775
98,Mand,2018,1920,211,.65876776,.68870294
98,Kvinde,2018,1920,984,.69512194,.68870294
99,Mand,2018,1919,138,.62318838,.65159577
99,Kvinde,2018,1919,614,.65798044,.65159577
100,Mand,2018,1918,77,0,0
100,Kvinde,2018,1918,381,0,0
