Variable,Response,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_
Intercept,1,1,2.9957,0.00371,652746.058,<.0001,MLE
Intercept,2,1,-3.7314,0.0157,56733.5274,<.0001,MLE
alder,1,1,0.0132,0.000216,3744.1363,<.0001,MLE
alder,2,1,0.0895,0.000725,15217.1382,<.0001,MLE
dummy_60_65,1,1,-0.0939,0.00793,140.0555,<.0001,MLE
dummy_60_65,2,1,0.6477,0.0144,2036.6868,<.0001,MLE
