year,age,gender,lr_avg,rp_avg,ao_avg,t_pf_avg,count_obs
2018,73,Total,872595.85958,219288.55689,31030.468938,1122914.8854,19783
2018,74,Total,854469.02601,192633.50052,30418.312616,1077520.8391,17264
2018,75,Total,893789.86882,205089.61729,25296.607442,1124176.0935,14217
2018,76,Total,914123.31297,170544.79809,7884.2261336,1092552.3372,11931
2018,77,Total,880871.84279,150752.39848,2909.0924333,1034533.3337,9185
2018,78,Total,830484.54504,104300.2705,1158.0518277,935942.86736,7660
2018,79,Total,843626.28301,92160.734298,600.30851857,936387.32582,6703
2018,80,Total,891965.82251,76983.375478,495.46179229,969444.65978,5758
2018,81,Total,816859.30233,68992.812976,286.26069963,886138.376,5117
2018,82,Total,795491.27686,35408.904218,1237.6790958,832137.86017,4291
2018,83,Total,696557.90333,23298.788549,818.80825566,720675.50013,3755
2018,84,Total,690191.57046,22915.811817,811.34387001,713918.72614,3385
2018,85,Total,644702.0209,13055.849751,244.06733002,658001.93798,3015
2018,86,Total,606452.71332,8773.3073559,211.53638171,615437.55706,2515
2018,87,Total,549162.70183,8084.0408257,357.03348624,557603.77615,2180
2018,88,Total,512708.23922,6631.1833333,672.8754902,520012.29804,2040
2018,89,Total,456428.28853,7947.2329085,216.17612978,464591.69757,1726
2018,90,Total,409244.30332,3396.9029374,256.92975734,412898.13602,1566
2018,91,Total,360585.04391,5432.5857498,104.52029826,366122.14996,1207
2018,92,Total,344323.2013,6520.7558248,39.648648649,350883.60578,1073
2018,93,Total,298453.20097,3855.3410475,1472.0937881,303780.63581,821
2018,94,Total,300855.43645,3072.3016845,0,303927.73813,653
2018,95,Total,239373.29263,485.39578947,0,239858.68842,475
2018,96,Total,227129.1982,265.9039039,288.41441441,227683.51652,333
2018,97,Total,226621.12295,1412.0655738,0,228033.18852,244
2018,98,Total,186353.70886,13441.721519,0,199795.43038,158
2018,99,Total,191807.19685,100.11811024,0,191907.31496,127
2018,100,Total,278697.32203,0,0,278697.32203,59
2018,30,f,90351.830626,48884.552198,721.913325,139958.29615,17606
2018,31,f,106426.10211,60173.20591,1250.6535986,167849.96161,17090
2018,32,f,128515.04929,68514.789067,1707.6592715,198737.49763,17489
2018,33,f,149977.79399,77760.618375,2378.931007,230117.34337,17567
2018,34,f,166560.5789,86158.666209,3215.3766698,255934.62178,16768
2018,35,f,187941.35169,96063.509267,4076.9110682,288081.77203,17103
2018,36,f,213120.8457,100285.27304,4958.6243146,318364.74306,16961
2018,37,f,233964.47061,111039.71066,5883.4796044,350887.66087,17896
2018,38,f,260578.8525,123401.27387,6608.3585396,390588.48491,18461
2018,39,f,280710.99275,133300.27913,7309.6179617,421320.88984,19163
2018,40,f,308567.01424,141383.35727,8339.8960052,458290.26751,19876
2018,41,f,325352.41005,146089.4826,9163.4251596,480605.31781,20056
2018,42,f,354547.43785,156519.84699,10180.995208,521248.28004,20240
2018,43,f,374638.36015,163526.34813,11371.562837,549536.27112,22813
2018,44,f,397496.1068,172797.7452,12095.343221,582389.19521,22688
2018,45,f,421484.30769,186386.03887,12968.86241,620839.20897,22458
2018,46,f,433849.96321,203197.96883,14903.611572,651951.54362,23487
2018,47,f,453708.12961,210759.94181,15346.945472,679815.0169,23786
2018,48,f,470437.50354,217093.2388,16175.213368,703705.95571,22487
2018,49,f,487082.87796,226619.09273,18121.888768,731823.85946,22107
2018,50,f,507073.8607,232758.29212,19330.95769,759163.11051,22477
2018,51,f,557752.22339,239327.73096,21839.710531,818919.66488,24576
2018,52,f,567060.93156,240966.08891,23519.318417,831546.33888,27219
2018,53,f,605309.65254,254617.03949,26665.395241,886592.08727,26184
2018,54,f,623708.69839,242133.99229,27750.096436,893592.78711,25281
2018,55,f,660831.54208,235485.75788,30991.158991,927308.45896,24926
2018,56,f,682210.70805,235293.15599,35320.881144,952824.74519,23213
2018,57,f,726753.91021,231413.99701,37039.671221,995207.57844,23055
2018,58,f,772398.6847,233753.78711,39308.578347,1045461.0502,22547
2018,59,f,803818.54608,226553.95634,41963.948453,1072336.4509,21689
2018,60,f,845563.18999,221270.69359,47165.304438,1113999.188,20822
2018,61,f,896915.95707,217072.14163,43131.148388,1157119.2471,20406
2018,62,f,948150.51726,223323.6423,45596.435863,1217070.5954,20394
2018,63,f,963139.19768,203464.87216,41616.45194,1208220.5218,18914
2018,64,f,983746.06713,199977.24201,47113.192133,1230836.5013,18024
2018,65,f,1017214.5373,213582.56544,40188.879388,1270985.9822,16267
2018,66,f,990036.00376,176543.37699,36115.841772,1202695.2225,15149
2018,67,f,955002.4071,180932.2931,36223.885404,1172158.5856,13456
2018,68,f,901241.84683,161143.71658,32715.488067,1095101.0515,12822
2018,69,f,845722.87333,140771.72765,29744.549248,1016239.1502,12102
2018,70,f,840718.34669,139756.23535,27550.135212,1008024.7173,11604
2018,71,f,801455.28815,117032.07102,23626.695876,942114.05505,11081
2018,72,f,771382.85325,118238.962,24121.899292,913743.71453,10446
2018,73,f,756597.162,118473.92458,22556.982298,897628.06888,9321
2018,74,f,706764.21141,84644.768645,18812.551553,810221.53161,8273
2018,75,f,730134.52983,92292.700411,21636.635175,844063.86541,6806
2018,76,f,734083.43893,90933.262067,5240.8041471,830257.50514,5739
2018,77,f,685564.8816,60170.221662,1007.5823284,746742.6856,4561
2018,78,f,657319.83894,58996.263252,197.86187564,716513.96407,3924
2018,79,f,618243.80197,45551.542883,622.9836212,664418.32847,3358
2018,80,f,683769.34023,33957.431386,0,717726.77162,2995
2018,81,f,583754.03546,29342.033986,205.28518655,613301.35464,2707
2018,82,f,605010.53533,16734.21242,273.24411135,622017.99186,2335
2018,83,f,530207.17296,11332.750119,27.089345437,541567.01242,2093
2018,84,f,511712.34369,10137.612319,389.66045549,522239.61646,1932
2018,85,f,480169.57094,4176.3043478,74.232265446,484420.10755,1748
2018,86,f,492326.45934,4879.5100846,27.063109954,497233.03253,1537
2018,87,f,441440.52151,3099.8731454,0,444540.39466,1348
2018,88,f,391475.67345,2259.2732968,40.001566171,393774.94832,1277
2018,89,f,394426.3663,9420.4514652,52.610805861,403899.42857,1092
2018,90,f,381184.34579,920.13601533,0,382104.4818,1044
2018,91,f,325359.18683,3652.6814371,0,329011.86826,835
2018,92,f,313885.22438,9153.3767313,0,323038.60111,722
2018,93,f,270146.69589,230.019678,2042.568873,272419.28444,559
2018,94,f,256033.64786,2286.1444695,0,258319.79233,443
2018,95,f,233594.00831,391.42105263,0,233985.42936,361
2018,96,f,170811.38136,0,0,170811.38136,236
2018,97,f,224227.13661,50.93442623,0,224278.07104,183
2018,98,f,159467.16102,17998.237288,0,177465.39831,118
2018,99,f,176393.11458,0,0,176393.11458,96
2018,100,f,307499.91304,0,0,307499.91304,46
2018,30,m,71495.334024,84882.544357,2058.9516482,158436.83003,16897
2018,31,m,85732.496364,100324.62701,2649.1835827,188706.30695,16641
2018,32,m,104881.29477,121858.04809,3558.3695446,230297.71241,16864
2018,33,m,119281.65922,136495.65767,4343.828328,260121.14522,16782
2018,34,m,138447.26421,149116.0731,5206.2531381,292769.59045,16252
2018,35,m,159150.85674,170930.18284,6195.1881566,336276.22774,15992
2018,36,m,176570.18343,182904.71788,6760.8871172,366235.78843,16557
2018,37,m,202390.88287,198501.59631,7966.8168886,408859.29607,16520
2018,38,m,216924.21266,220680.84471,8553.572249,446158.62962,17239
