year,KOEN,ALDER,FGNF,FGAKTIV,FGA,FGB,FGCX,nettoform_u_pf,FGPASSIV
2018,0,96,968739.352,1046653.4424,485087.18494,501959.83576,59606.421647,909132.93035,77914.090353
2018,0,97,997696.33887,1078821.054,520125.75608,504521.72997,54173.567953,943522.77092,81124.715134
2018,0,98,974085.19234,1052933.8919,511866.92,497353.90723,43713.064681,930372.12766,78848.699574
2018,0,99,1000831.4636,1078916.7507,516361.10108,516424.031,46131.618598,954699.84501,78085.287062
2018,0,100,904965.1069,956236.97773,428748.01114,488447.40089,39041.565702,865923.5412,51271.870824
2018,1,30,261246.81758,691913.62428,494906.05853,90941.5822,106065.98355,155180.83403,430666.8067
2018,1,31,304345.59511,775466.73552,549006.38555,97962.456223,128497.89374,175847.70137,471121.1404
2018,1,32,359502.86419,901361.05135,637919.8128,106469.04494,156972.19361,202530.67058,541858.18716
2018,1,33,399880.47734,976612.93066,684893.11153,110215.54075,181504.27838,218376.19895,576732.45332
2018,1,34,446249.93602,1070161.9851,745031.63676,118804.94806,206325.40032,239924.5357,623912.04913
2018,1,35,510247.25117,1174457.5246,813955.70986,124678.66946,235823.14526,274424.10592,664210.2734
2018,1,36,561032.79401,1252453.5078,854774.16715,130260.4951,267418.84555,293613.94846,691420.71379
2018,1,37,621872.64579,1361424.8929,920081.30194,140343.22159,301000.36933,320872.27646,739552.24707
2018,1,38,682293.09339,1441960.2959,957561.34896,147881.36294,336517.584,345775.50939,759667.2025
2018,1,39,756119.97317,1558718.2913,1019610.9593,167423.4507,371683.88131,384436.09186,802598.31813
2018,1,40,834148.23038,1659685.9124,1071493.0324,170845.97527,417346.90469,416801.32569,825537.68201
2018,1,41,896943.75969,1745543.6396,1115439.6217,179833.33875,450270.67915,446673.08054,848599.87991
2018,1,42,972578.03182,1843600.2704,1159178.5992,192072.09549,492349.57566,480228.45616,871022.23855
2018,1,43,1066874.1016,1949773.5345,1204258.7096,209915.49968,535599.32524,531274.77635,882899.43296
2018,1,44,1142845.4933,2042718.4837,1244573.6647,224657.19218,573487.62682,569357.86649,899872.99039
2018,1,45,1213418.4362,2099819.3304,1251296.8304,232389.24272,616133.25727,597285.17897,886400.89411
2018,1,46,1278562.9042,2181012.6232,1283814.1852,237240.68616,659957.75186,618605.15237,902449.71896
2018,1,47,1347087.653,2255324.2891,1313614.6687,248450.30389,693259.31648,653828.33647,908236.63614
2018,1,48,1386812.0695,2265631.5889,1285175.0637,258111.19439,722345.33082,664466.73871,878819.51937
2018,1,49,1472274.7631,2345998.1852,1316451.7938,269687.97789,759858.41352,712416.34955,873723.4221
2018,1,50,1533617.3071,2390631.3909,1317099.9537,272580.11936,800951.31789,732665.98923,857014.08379
2018,1,51,1591625.0584,2458951.6699,1337774.411,275520.34535,845656.91358,745968.14479,867326.61156
2018,1,52,1660272.7847,2520756.337,1343901.6586,288719.54748,888135.13093,772137.65374,860483.55233
2018,1,53,1745937.7925,2617959.8352,1385548.5863,295155.2128,937256.03604,808681.75646,872022.04265
2018,1,54,1825709.5714,2665143.0095,1378720.41,306649.47182,979773.1277,845936.44365,839433.43813
2018,1,55,1917673.2441,2753936.4779,1394760.0216,325950.15297,1033226.3034,884446.94073,836263.2338
2018,1,56,1985887.0493,2804946.2616,1399402.2105,328609.99623,1076934.0549,908952.99439,819059.21232
2018,1,57,2093640.6835,2899726.9338,1403023.5607,348224.34505,1148479.028,945161.6555,806086.25023
2018,1,58,2165328.1761,2948111.4674,1393003.9819,349458.99442,1205648.4911,959679.68504,782783.29131
2018,1,59,2278606.0499,3053377.1977,1423890.9286,367327.08036,1262159.1888,1016446.8612,774771.14777
2018,1,60,2377143.8353,3109667.1513,1401742.7301,385324.80869,1322599.6126,1054544.2228,732523.31602
2018,1,61,2461729.1524,3173286.8653,1399899.8765,398161.01521,1375225.9736,1086503.1789,711557.71288
2018,1,62,2540784.8652,3235997.3702,1408209.7338,412604.43426,1415183.2021,1125601.663,695212.50507
2018,1,63,2602143.3299,3257459.0695,1390246.6315,416256.8157,1450955.6222,1151187.7077,655315.73954
2018,1,64,2633183.8962,3258967.494,1374259.8429,425078.53844,1459629.1127,1173554.7835,625783.59785
2018,1,65,2650015.9982,3244567.5665,1371419.8019,446784.27596,1426363.4886,1223652.5096,594551.56822
2018,1,66,2714091.5387,3305955.785,1405868.3157,456237.06419,1443850.4052,1270241.1336,591864.24629
2018,1,67,2727539.5545,3293512.6437,1414410.1744,462006.87446,1417095.5948,1310443.9598,565973.08915
2018,1,68,2663371.626,3195392.9038,1386746.654,440257.8997,1368388.3501,1294983.2759,532021.27784
2018,1,69,2662725.7648,3189921.774,1414332.132,447353.32255,1328236.3194,1334489.4454,527196.00913
2018,1,70,2680187.8496,3198039.726,1439209.6025,457497.10534,1301333.0181,1378854.8315,517851.87636
