ALDER,gender,nettoform_u_pf_Mean,pension_assets_Mean,nettoform_u_pf_Std,pension_assets_Std
96,Man,1101343.5558,79037.976395,1295835.6556,145993.21833
97,Man,1082174.2647,65186.061765,1267222.6305,143789.78179
98,Man,1100658.7833,64607.758621,1368770.7112,127362.35547
99,Man,1235645.6462,69789.792308,1476911.223,149575.73758
30,Woman,118842.67969,88826.221775,414594.76731,123396.91032
31,Woman,133961.7204,108370.00576,430128.69081,108229.5828
32,Woman,150248.11849,131238.00571,473421.43139,141150.89148
33,Woman,164516.65258,152066.76082,484918.18381,155069.98802
34,Woman,186722.12057,173733.48237,521345.87616,159412.9108
35,Woman,209801.41791,199728.41464,552097.4117,185928.50007
36,Woman,221588.93738,225284.6778,565615.33245,198264.01911
37,Woman,233519.66255,255035.20583,585906.7246,225853.42579
38,Woman,261363.04322,285811.7149,619543.62897,248989.91696
39,Woman,287205.66306,314571.13321,645779.9212,255818.10083
40,Woman,310767.92617,348263.05238,675263.76062,290286.67647
41,Woman,332499.87266,375692.92669,698512.18715,310765.41167
42,Woman,362640.93402,409159.36966,723650.97836,328382.81382
43,Woman,376526.21487,438513.48353,746495.59734,811421.98916
44,Woman,413640.43538,470393.64582,783223.51155,366875.94768
45,Woman,432227.60361,499139.45962,802461.1701,412595.62869
46,Woman,455426.86988,530114.2773,818408.6515,405012.19767
47,Woman,473131.654,558246.76748,846482.5348,438607.31057
48,Woman,484475.46718,578555.42942,864711.66698,454231.11901
49,Woman,500532.64442,611390.1103,872968.83465,493388.41256
50,Woman,519095.18324,647490.07856,900734.91065,556186.42217
51,Woman,544822.39878,691412.97548,918686.69774,570900.9105
52,Woman,562227.38194,725186.23676,931529.40021,589078.06181
53,Woman,584748.27272,756812.86409,954812.27797,622644.95167
54,Woman,583531.05907,777843.60369,949375.06822,632049.08344
55,Woman,602538.63553,830549.13232,959840.46176,700202.95374
56,Woman,634369.11191,870662.72916,986536.34583,1001445.9217
57,Woman,652491.31189,918941.06762,1000214.9065,767492.7232
58,Woman,683740.52333,963825.28909,1035805.2415,809284.04072
59,Woman,699557.32792,1019461.3425,1021731.9916,858539.99384
60,Woman,709166.98463,1060393.0662,1019600.0601,912650.88111
61,Woman,734777.96568,1097796.3236,1046493.8906,931181.4567
62,Woman,749013.6142,1157220.8884,1055593.793,1001920.9084
63,Woman,764717.23281,1184038.0494,1062132.4864,1080629.0797
64,Woman,763931.90477,1193541.4201,1065621.184,1061885.9975
65,Woman,801687.86022,1154218.6792,1083719.2535,1063898.536
66,Woman,815266.83162,1138550.5867,1100309.4682,1083909.323
67,Woman,820581.70099,1078837.6053,1121823.6992,1068215.5801
68,Woman,803700.15416,1017732.9914,1123357.8964,1073706.3003
69,Woman,808842.64802,952695.4903,1121900.4198,985915.5533
70,Woman,810671.04038,904924.14586,1135296.5623,983843.77741
71,Woman,792670.59026,813671.50364,1120831.8931,908908.89777
72,Woman,793019.15938,759286.8286,1129452.7698,902944.85226
73,Woman,782388.41504,681802.33921,1127176.3002,836166.05454
74,Woman,786330.68623,614851.98567,1126070.8148,788110.29805
75,Woman,802146.51985,556762.12387,1143080.0005,743141.86807
76,Woman,823992.98344,435616.15863,1153963.1437,619314.93837
77,Woman,793414.95587,372164.69669,1120638.3929,551350.41912
78,Woman,796936.32624,332479.54424,1123250.7509,514001.92544
79,Woman,807395.68335,306103.69808,1137967.1966,474963.97262
80,Woman,800351.89252,292630.18556,1117149.07,442294.67906
81,Woman,808729.17689,257892.40155,1117082.4339,398221.34351
82,Woman,812938.02124,234315.30792,1118247.6634,369758.21893
83,Woman,803471.90692,209421.70977,1103973.3569,332963.81323
84,Woman,814622.84973,189260.58497,1093978.1097,309105.59001
85,Woman,824908.71584,176987.29657,1129705.4987,293627.19265
86,Woman,845354.531,169004.80765,1119498.1517,284131.68876
87,Woman,845605.77792,145365.34322,1122969.9492,243904.33046
88,Woman,852454.78455,136364.24044,1142347.7815,231736.91517
89,Woman,861621.7128,121492.15228,1144674.7122,211793.85431
90,Woman,826256.00893,109266.98991,1111113.9944,190859.70552
91,Woman,859365.21387,100163.24991,1153805.0758,169946.58402
92,Woman,863384.15453,85473.407009,1147706.2923,159604.38047
93,Woman,841127.38436,77814.007511,1129699.1738,142714.95436
94,Woman,836119.78092,71854.614841,1109417.2043,132264.53068
95,Woman,808487.84387,63139.030557,1109365.6466,116927.15007
96,Woman,782331.71985,52799.885505,1066712.0304,97863.010701
97,Woman,851178.33283,48944.851574,1161543.2091,103502.74471
98,Woman,863606.10134,39070.46122,1200942.985,74983.558549
99,Woman,824702.83802,39090.793388,1183066.6344,76978.587024
30,all,138119.28359,97497.640223,433052.79331,114957.55231
31,all,156039.01446,118564.48138,455465.56985,118848.15181
32,all,177102.36668,144311.9439,502089.52748,144848.65334
33,all,192240.54431,166717.72625,516675.91985,158484.02052
34,all,213637.69474,190147.62729,549840.33949,170040.42129
35,all,241923.70069,217715.06072,591737.40593,195592.23392
36,all,256023.8874,246460.95751,608650.11945,276284.29438
37,all,274403.4729,277607.53932,642436.29489,236534.90497
38,all,301431.15707,310791.22464,675135.02285,264806.12291
39,all,326911.34013,342615.25483,697322.45899,275127.17619
40,all,356424.53248,381934.01402,739926.78785,308825.43485
41,all,380195.9871,412610.21021,764281.02211,339213.46784
42,all,411564.82326,449945.37562,792196.40233,397365.06131
43,all,437586.14182,484736.02527,821407.36071,645476.86304
44,all,472656.66238,519964.31356,860306.72616,410527.50555
45,all,491376.26626,555001.96251,879654.60628,466711.16892
46,all,515355.08025,591882.86415,902040.19706,571256.24104
47,all,537606.57826,623104.96438,923912.86541,494682.01405
48,all,547194.08819,646450.26421,941353.49274,526538.25134
49,all,574646.74283,680372.22639,962361.63605,559545.71454
50,all,590571.07609,719497.26081,984267.78937,802591.24157
51,all,608311.27977,762406.25254,995309.31476,649495.45907
52,all,631857.58165,800728.24685,1014248.6592,685654.95377
53,all,652581.25532,839604.51362,1032076.8078,734230.24558
54,all,669298.56108,870784.09714,1047174.2717,768444.00254
55,all,697080.27297,923001.13375,1068715.9395,822313.48044
56,all,717615.00418,962566.94803,1076030.3147,993664.66237
57,all,738455.28727,1019654.631,1089548.0887,895993.61724
58,all,764601.76287,1073185.2193,1116092.3784,953175.71044
59,all,794983.09083,1126495.4567,1120771.335,988635.77766
60,all,818245.8711,1176518.354,1121789.2916,1089266.9432
61,all,842330.37332,1219255.8183,1141006.7043,1120137.5941
62,all,868256.87881,1265931.4476,1152847.4719,1164760.643
63,all,887233.67422,1296417.4587,1161894.3105,1210418.0309
64,all,898292.83115,1306643.8782,1171865.8,1238271.1189
65,all,939438.10127,1269410.2686,1183526.6052,1217666.1257
66,all,964884.11187,1265235.4092,1201148.4824,1257025.0387
67,all,982962.1835,1221689.9014,1223901.3348,1267651.3221
68,all,966898.2891,1162027.4785,1218727.0571,1261168.2706
69,all,989250.18531,1113770.6845,1232091.3614,1212751.6967
70,all,1001531.4295,1071607.1417,1250606.3334,1202899.5459
71,all,1000242.0764,996019.46576,1246551.4999,1162414.3143
72,all,1010386.8126,945933.55686,1263810.417,1159800.9972
73,all,995445.66888,870805.13605,1257878.8545,1098125.493
74,all,994563.57403,794044.33669,1252962.6823,1059413.5281
75,all,1016385.3386,727657.36996,1279273.0732,994477.62233
76,all,1066625.9855,577505.54595,1318130.245,822005.14721
77,all,1024851.4758,497558.61266,1281943.1502,724509.08211
78,all,1012067.4799,442556.66423,1276068.3342,673747.10907
79,all,1023792.9249,415921.83945,1276262.3979,621760.26725
80,all,1010083.9517,386156.81034,1260560.0108,580031.13901
81,all,1002615.6271,343838.95815,1253647.6348,515450.9838
82,all,996743.41151,311502.29545,1244899.8198,480516.83692
83,all,978354.75271,279415.30553,1235120.7567,436853.39249
84,all,978571.9098,253754.5858,1228604.1031,409908.46676
85,all,980140.20959,228508.2511,1237926.532,373590.37574
86,all,993512.51856,205372.53121,1230058.4898,347545.87015
87,all,982662.59475,181644.44311,1217224.516,306988.5828
88,all,992867.88238,165043.96269,1243294.0353,282000.43343
89,all,987297.45141,147649.7755,1227844.8459,260515.40021
90,all,954805.84287,128226.94474,1211503.6442,224850.59132
91,all,975196.12074,115472.66933,1232608.5355,203387.21771
92,all,950045.96905,100222.95268,1205229.1419,191091.85912
93,all,928396.6803,91266.6377,1182396.4434,173125.30962
94,all,943925.086,81530.157071,1212306.059,146752.0959
95,all,878829.54345,68608.198768,1160392.4845,127686.99043
96,all,852853.31167,58600.146584,1128862.8155,110821.76894
97,all,898095.0693,52243.544205,1187024.388,112995.00991
98,all,904735.7547,43501.291453,1234349.048,86848.942064
99,all,897386.6,44520.548299,1248890.8766,94581.215596
